step,loss,lr
213,0.11795656,0.0000999563
214,0.09374077,0.0000999559
215,0.10978869,0.0000999555
216,0.05699283,0.0000999551
217,0.05221947,0.0000999547
218,0.15285918,0.0000999542
219,0.04389083,0.0000999538
220,0.13460121,0.0000999534
221,0.06718820,0.0000999530
222,0.15402184,0.0000999526
223,0.04986499,0.0000999521
224,0.11017007,0.0000999517
225,0.11875941,0.0000999513
226,0.10055958,0.0000999508
227,0.27996135,0.0000999504
228,0.06677260,0.0000999500
229,0.07468379,0.0000999495
230,0.06739791,0.0000999491
231,0.05471844,0.0000999486
232,0.05180933,0.0000999482
233,0.07891293,0.0000999477
234,0.05630036,0.0000999473
235,0.03579069,0.0000999468
236,0.05727684,0.0000999464
237,0.06064250,0.0000999459
238,0.08469617,0.0000999455
239,0.03145616,0.0000999450
240,0.04433234,0.0000999445
241,0.05779179,0.0000999441
242,0.05503377,0.0000999436
243,0.07205544,0.0000999432
244,0.04013596,0.0000999427
245,0.07904363,0.0000999422
246,0.04238934,0.0000999417
247,0.07776530,0.0000999413
248,0.04492752,0.0000999408
249,0.07214619,0.0000999403
250,0.08305061,0.0000999398
251,0.08448935,0.0000999394
252,0.04375424,0.0000999389
253,0.04540507,0.0000999384
254,0.07636119,0.0000999379
255,0.06602535,0.0000999374
256,0.06211461,0.0000999369
257,0.05116772,0.0000999364
258,0.06967168,0.0000999359
259,0.06372696,0.0000999354
260,0.04412664,0.0000999349
261,0.04658759,0.0000999344
262,0.06292602,0.0000999339
263,0.74351394,0.0000999334
264,0.04203945,0.0000999329
265,0.03001515,0.0000999324
266,0.38081664,0.0000999319
267,0.09628034,0.0000999314
268,0.03965141,0.0000999309
269,0.04275706,0.0000999303
270,0.06217159,0.0000999298
271,0.04944137,0.0000999293
272,0.05915209,0.0000999288
273,0.06897615,0.0000999283
274,0.07037292,0.0000999277
275,0.17522642,0.0000999272
276,0.05080460,0.0000999267
277,0.03741111,0.0000999261
278,0.11708014,0.0000999256
279,0.13263762,0.0000999251
280,0.13301958,0.0000999245
281,0.10630785,0.0000999240
282,0.16362318,0.0000999234
283,0.28855497,0.0000999229
284,0.11002208,0.0000999224
285,0.05945939,0.0000999218
286,0.08777501,0.0000999213
287,0.07219067,0.0000999207
288,0.11841673,0.0000999202
289,0.04907450,0.0000999196
290,0.06120959,0.0000999190
291,0.05303231,0.0000999185
292,0.14699049,0.0000999179
293,0.05278452,0.0000999174
294,0.16449694,0.0000999168
295,0.08434331,0.0000999162
296,0.05358356,0.0000999157
297,0.07778603,0.0000999151
298,0.04402034,0.0000999145
299,0.11372679,0.0000999139
300,0.11737500,0.0000999134
301,0.07182384,0.0000999128
302,0.15402348,0.0000999122
303,0.07495776,0.0000999116
304,0.15857793,0.0000999110
305,0.72859216,0.0000999105
306,0.07788453,0.0000999099
307,0.05675989,0.0000999093
308,0.06110598,0.0000999087
309,0.05276877,0.0000999081
310,0.06767999,0.0000999075
311,0.05297690,0.0000999069
312,0.04236862,0.0000999063
313,0.06519972,0.0000999057
314,0.06897271,0.0000999051
315,0.04829138,0.0000999045
316,0.10709115,0.0000999039
317,0.20569842,0.0000999033
318,0.03781569,0.0000999027
319,0.05299400,0.0000999020
320,0.09951437,0.0000999014
321,0.17898259,0.0000999008
322,0.11495197,0.0000999002
323,0.08363768,0.0000998996
324,0.21144643,0.0000998990
325,0.30889222,0.0000998983
326,0.09892852,0.0000998977
327,0.08076405,0.0000998971
328,0.06682797,0.0000998964
329,0.05309310,0.0000998958
330,0.07035229,0.0000998952
331,0.05687212,0.0000998945
332,0.05717885,0.0000998939
333,0.40235406,0.0000998933
334,0.05017726,0.0000998926
335,0.04806497,0.0000998920
336,0.05848231,0.0000998913
337,0.05242629,0.0000998907
338,0.11700356,0.0000998900
339,0.06047943,0.0000998894
340,0.11703357,0.0000998887
341,0.06079233,0.0000998881
342,0.07778743,0.0000998874
343,0.03992163,0.0000998868
344,0.08451847,0.0000998861
345,0.09231459,0.0000998854
346,0.04597617,0.0000998848
347,0.20072587,0.0000998841
348,0.03612563,0.0000998834
349,0.04908948,0.0000998828
