run,family,mae_norm_p1,obo,delta_mae,delta_obo,summary
repnet_external_multi_stride_full,RepNet,0.48847035809673484,0.32894736842105265,-0.5065296419032652,0.31554736842105263,F:\Projects\FItCoach\transrac_replication\experiments\repnet_external_test_summary.json
repnet_external_paper64,RepNet,0.7993882064348087,0.25,-0.19561179356519132,0.2366,F:\Projects\FItCoach\transrac_replication\experiments\repnet_external_test_paper64_summary.json
repnet_like_cached16k,RepNet,1.346052224458103,0.046357615894039736,0.351052224458103,0.032957615894039734,F:\Projects\FItCoach\transrac_replication\experiments\repnet_like_16k_cached_test_summary.json
transrac_official_ckpt,TransRAC,0.5826176742925063,0.28289473684210525,0.13951767429250633,-0.008405263157894749,official log
transrac_cached16k,TransRAC,0.9614412604969002,0.07947019867549669,0.5183412604969002,-0.2118298013245033,F:\Projects\FItCoach\transrac_replication\experiments\transrac_16k_cached_test_summary.json
zhang_external_resnext101,Zhang,0.8704920637518953,0.3355263157894737,-0.008107936248104797,0.18012631578947366,F:\Projects\FItCoach\transrac_replication\experiments\zhang_external_test_summary.json
zhang_like_cached16k,Zhang,1.3282024796105107,0.052980132450331126,0.4496024796105107,-0.10241986754966889,F:\Projects\FItCoach\transrac_replication\experiments\zhang_like_16k_cached_test_summary.json
