family,paper_method,actual_method,paper_mae_norm_p1,actual_mae_norm_p1,delta_mae_norm_p1,paper_obo,actual_obo,delta_obo,actual_n,is_proxy_cached151
X3D,X3D,X3D_cached16k_proxy,0.9105,0.8663358146733198,-0.044164185326680205,0.1059,0.0927152317880794,-0.013184768211920592,151,True
TANet,TANet,TANet_cached16k_proxy,0.6624,1.3150841455490074,0.6526841455490074,0.0993,0.0397350993377483,-0.0595649006622517,151,True
Video SwinT,Video SwinT,VideoSwinT_cached16k_proxy,0.5756,1.0737895390326329,0.49818953903263286,0.1324,0.0662251655629139,-0.06617483443708609,151,True
Huang et al.,Huang et al.,Huang_cached16k_proxy,0.5267,1.0593366220635607,0.5326366220635608,0.1589,0.0993377483443708,-0.059562251655629214,151,True
RepNet,RepNet,RepNet_external_paper64,0.995,0.7993882064348087,-0.19561179356519132,0.0134,0.25,0.2366,152,False
Zhang et al.,Zhang et al.,Zhang_external_resnext101,0.8786,0.8704920637518953,-0.008107936248104797,0.1554,0.3355263157894737,0.18012631578947366,152,False
TransRAC,TransRAC (paper),TransRAC_official_ckpt,0.4431,0.5826176742925063,0.13951767429250633,0.2913,0.2828947368421052,-0.008405263157894804,152,False
