paper,dataset,metric,value,source,notes
Viewpoint-Invariant Exercise Repetition Counting (arXiv:2107.13760),MM-fit,MAE/OBOA,0.06 / 0.94,paper_abstract/table,Not directly comparable to RepCount-A
Viewpoint-Invariant Exercise Repetition Counting (arXiv:2107.13760),UI-PRMD,MAE/OBOA,0.06 / 0.95,paper_abstract/table,Not directly comparable to RepCount-A
Our adaptation of 2107.13760 method,RepCount-A test,MAE_norm_p1/OBO,0.5022 / 0.1645,reproduced_here,Skeleton cosine similarity + FFT integration baseline
