step,loss,lr
213,0.13007522,0.0000999563
214,0.08237971,0.0000999559
215,0.07137895,0.0000999555
216,0.06709869,0.0000999551
217,0.05473359,0.0000999547
218,0.05762054,0.0000999542
219,0.73289335,0.0000999538
220,0.07089171,0.0000999534
221,0.05572299,0.0000999530
222,0.07641697,0.0000999526
223,0.13555250,0.0000999521
224,0.07200626,0.0000999517
225,0.44066143,0.0000999513
226,0.11749864,0.0000999508
227,0.08985652,0.0000999504
228,0.07610166,0.0000999500
229,0.07228879,0.0000999495
230,0.07061268,0.0000999491
231,0.25710595,0.0000999486
232,0.06265266,0.0000999482
233,0.04912917,0.0000999477
234,0.06203153,0.0000999473
235,0.08253376,0.0000999468
236,0.05151341,0.0000999464
237,0.31806749,0.0000999459
238,0.06262770,0.0000999455
239,0.15070724,0.0000999450
240,0.08064465,0.0000999445
241,0.07492613,0.0000999441
242,0.06210185,0.0000999436
243,0.06099878,0.0000999432
244,0.13388884,0.0000999427
245,0.06124382,0.0000999422
246,0.31924695,0.0000999417
247,0.07238938,0.0000999413
248,0.06386283,0.0000999408
249,0.05308640,0.0000999403
250,0.08375996,0.0000999398
251,0.13713948,0.0000999394
252,0.07703711,0.0000999389
253,0.03790705,0.0000999384
254,0.05299899,0.0000999379
255,0.13483274,0.0000999374
256,0.04354328,0.0000999369
257,0.04634112,0.0000999364
258,0.05871799,0.0000999359
259,0.14887092,0.0000999354
260,0.06477530,0.0000999349
261,0.04660346,0.0000999344
262,0.06257436,0.0000999339
263,0.13481592,0.0000999334
264,0.03422183,0.0000999329
265,0.03966621,0.0000999324
266,0.15631551,0.0000999319
267,0.10962497,0.0000999314
268,0.09585052,0.0000999309
269,0.07115485,0.0000999303
270,0.04320413,0.0000999298
271,0.06418740,0.0000999293
272,0.09472542,0.0000999288
273,0.06601606,0.0000999283
274,0.06609939,0.0000999277
275,0.14092711,0.0000999272
276,0.06824132,0.0000999267
277,0.17714554,0.0000999261
278,0.04444029,0.0000999256
279,0.09552731,0.0000999251
280,0.05324813,0.0000999245
281,0.20784903,0.0000999240
282,0.14120744,0.0000999234
283,0.12774032,0.0000999229
284,0.06409208,0.0000999224
285,0.16078916,0.0000999218
286,0.07686277,0.0000999213
287,0.08142704,0.0000999207
288,0.08870229,0.0000999202
289,0.08244082,0.0000999196
290,0.09823459,0.0000999190
291,0.06700108,0.0000999185
292,0.05650865,0.0000999179
293,0.05581889,0.0000999174
294,0.06478723,0.0000999168
295,0.04791220,0.0000999162
296,0.10285540,0.0000999157
297,0.10364925,0.0000999151
298,0.05600755,0.0000999145
299,0.04287295,0.0000999139
300,0.07871336,0.0000999134
301,0.12685369,0.0000999128
302,0.35582152,0.0000999122
303,0.15183780,0.0000999116
304,0.07514304,0.0000999110
305,0.04184773,0.0000999105
306,0.07618491,0.0000999099
307,0.05146106,0.0000999093
308,0.12321294,0.0000999087
309,0.09808025,0.0000999081
310,0.07596948,0.0000999075
311,0.05294035,0.0000999069
312,0.05143672,0.0000999063
313,0.18016779,0.0000999057
314,0.42274898,0.0000999051
315,0.05550470,0.0000999045
316,0.06599614,0.0000999039
317,0.12214532,0.0000999033
318,0.07057264,0.0000999027
319,0.05291982,0.0000999020
320,0.07960479,0.0000999014
321,0.05306603,0.0000999008
322,0.13634470,0.0000999002
323,0.06518459,0.0000998996
324,0.05760396,0.0000998990
325,0.06476404,0.0000998983
326,0.06101830,0.0000998977
327,0.03365322,0.0000998971
328,0.04543145,0.0000998964
329,0.08681646,0.0000998958
330,0.05248649,0.0000998952
331,0.11690667,0.0000998945
332,0.04207854,0.0000998939
333,0.03537625,0.0000998933
334,0.12813094,0.0000998926
335,0.09905751,0.0000998920
336,0.13015546,0.0000998913
337,0.09971483,0.0000998907
338,0.67501259,0.0000998900
339,0.04111039,0.0000998894
340,0.18608792,0.0000998887
341,0.22490871,0.0000998881
342,0.11722250,0.0000998874
343,0.06691508,0.0000998868
344,0.05891253,0.0000998861
345,0.07818919,0.0000998854
346,0.09630463,0.0000998848
347,0.05781426,0.0000998841
348,0.06951062,0.0000998834
349,0.04565984,0.0000998828
350,0.05776317,0.0000998821
351,0.03419375,0.0000998814
352,0.11435284,0.0000998807
353,0.20199670,0.0000998801
354,0.12430772,0.0000998794
355,0.25115591,0.0000998787
356,0.10473120,0.0000998780
357,0.05112568,0.0000998773
358,0.08369824,0.0000998766
359,0.04937786,0.0000998760
360,0.28116113,0.0000998753
361,0.05987548,0.0000998746
362,0.05116023,0.0000998739
363,0.07214377,0.0000998732
364,0.06042459,0.0000998725
365,0.07003646,0.0000998718
366,0.09422322,0.0000998711
367,0.08188873,0.0000998704
368,0.12096591,0.0000998697
369,0.07540557,0.0000998690
370,0.04045582,0.0000998682
371,0.05931526,0.0000998675
372,0.06614381,0.0000998668
373,0.08873861,0.0000998661
374,0.08455840,0.0000998654
375,0.07984918,0.0000998647
376,0.04324555,0.0000998639
377,0.04795527,0.0000998632
378,0.02756765,0.0000998625
379,0.14157140,0.0000998618
380,0.15104167,0.0000998610
381,0.08071072,0.0000998603
382,0.11963910,0.0000998596
383,0.12077160,0.0000998588
384,0.12903702,0.0000998581
385,0.04848020,0.0000998573
386,0.09718689,0.0000998566
387,0.06696490,0.0000998559
388,0.06530917,0.0000998551
389,0.08068269,0.0000998544
390,0.06511692,0.0000998536
391,0.05711796,0.0000998529
392,0.11527294,0.0000998521
393,0.06921183,0.0000998514
394,0.08439374,0.0000998506
395,0.04808056,0.0000998498
396,0.11093020,0.0000998491
397,0.23496003,0.0000998483
398,0.04560311,0.0000998476
399,0.11193014,0.0000998468
400,0.07224983,0.0000998460
401,0.76726878,0.0000998453
402,0.05700780,0.0000998445
403,0.36558208,0.0000998437
404,0.05656520,0.0000998429
405,0.06039404,0.0000998421
406,0.07876916,0.0000998414
407,0.09004719,0.0000998406
408,0.09879699,0.0000998398
409,0.06720070,0.0000998390
410,0.04577203,0.0000998382
411,0.07434845,0.0000998374
412,0.05280347,0.0000998366
413,0.10165457,0.0000998359
414,0.05222373,0.0000998351
415,0.11945975,0.0000998343
416,0.04730213,0.0000998335
417,0.05810679,0.0000998327
418,0.12382330,0.0000998319
419,0.09356274,0.0000998311
420,0.21622002,0.0000998302
421,0.04345337,0.0000998294
422,0.08695357,0.0000998286
423,0.31037688,0.0000998278
424,0.10521522,0.0000998270
425,0.10312673,0.0000998262
426,0.05868129,0.0000998254
427,0.15636346,0.0000998245
428,0.07231933,0.0000998237
429,0.12278196,0.0000998229
430,0.04002590,0.0000998221
431,0.04813199,0.0000998212
432,0.04660089,0.0000998204
433,0.06657352,0.0000998196
434,0.13445412,0.0000998187
435,0.03276100,0.0000998179
436,0.05994505,0.0000998171
437,0.26388291,0.0000998162
438,0.07664180,0.0000998154
439,0.05119678,0.0000998146
440,0.13416475,0.0000998137
441,0.06454806,0.0000998129
442,0.08563150,0.0000998120
443,0.08523779,0.0000998112
444,0.05675199,0.0000998103
445,0.03812984,0.0000998094
446,0.06593755,0.0000998086
447,0.05940973,0.0000998077
448,0.06286988,0.0000998069
449,0.05944802,0.0000998060
450,0.09951358,0.0000998051
451,0.05966759,0.0000998043
452,0.04822612,0.0000998034
453,0.05300305,0.0000998025
454,0.03658502,0.0000998017
455,0.04808530,0.0000998008
456,0.05618949,0.0000997999
457,0.14659670,0.0000997990
458,0.02663385,0.0000997982
459,0.04026770,0.0000997973
460,0.05259417,0.0000997964
461,0.06429832,0.0000997955
462,0.12896056,0.0000997946
463,0.15213116,0.0000997937
464,0.07035144,0.0000997928
465,0.05358363,0.0000997919
466,0.08520089,0.0000997911
467,0.06474186,0.0000997902
468,0.11824237,0.0000997893
469,0.04935719,0.0000997884
470,0.06131419,0.0000997875
471,0.04960699,0.0000997865
472,0.04939058,0.0000997856
473,0.09732534,0.0000997847
474,0.14033253,0.0000997838
475,0.16312270,0.0000997829
476,0.06627283,0.0000997820
477,0.03030382,0.0000997811
478,0.05908503,0.0000997802
479,0.05067010,0.0000997792
480,0.07490722,0.0000997783
481,0.02288390,0.0000997774
482,0.04208644,0.0000997765
483,0.05698623,0.0000997755
484,0.21374330,0.0000997746
485,0.07404868,0.0000997737
486,0.31207675,0.0000997727
487,0.06653240,0.0000997718
488,0.06842893,0.0000997709
489,0.04235448,0.0000997699
490,0.04485813,0.0000997690
491,0.07163262,0.0000997681
492,0.04328306,0.0000997671
493,0.03850760,0.0000997662
494,0.06694709,0.0000997652
495,0.37267175,0.0000997643
496,0.03952812,0.0000997633
497,0.04487331,0.0000997624
498,0.17591450,0.0000997614
499,0.14532554,0.0000997604
500,0.11985326,0.0000997595
501,0.06068221,0.0000997585
502,0.04977486,0.0000997576
503,0.08573946,0.0000997566
504,0.09001908,0.0000997556
505,0.08159322,0.0000997546
506,0.05066920,0.0000997537
507,0.07039081,0.0000997527
508,0.13017738,0.0000997517
509,0.04464949,0.0000997507
510,0.09183195,0.0000997498
511,0.05363432,0.0000997488
512,0.05656068,0.0000997478
513,0.08647965,0.0000997468
514,0.12035831,0.0000997458
515,0.08105855,0.0000997448
516,0.06623052,0.0000997439
517,0.05566318,0.0000997429
518,0.14341269,0.0000997419
519,0.07255246,0.0000997409
520,0.06836759,0.0000997399
521,0.20397234,0.0000997389
522,0.22428158,0.0000997379
523,0.05722271,0.0000997369
524,0.11507069,0.0000997359
525,0.09849766,0.0000997348
526,0.05612554,0.0000997338
527,0.08980826,0.0000997328
528,0.12923443,0.0000997318
529,0.05360997,0.0000997308
530,0.09496282,0.0000997298
531,0.06096219,0.0000997288
532,0.25330362,0.0000997277
533,0.04797150,0.0000997267
534,0.06057606,0.0000997257
535,0.08016904,0.0000997247
536,0.06169437,0.0000997236
537,0.04749030,0.0000997226
538,0.09405360,0.0000997216
539,0.04611541,0.0000997205
540,0.07789411,0.0000997195
541,0.08571666,0.0000997185
542,0.11165375,0.0000997174
543,0.05777010,0.0000997164
544,0.02045190,0.0000997153
545,0.05497284,0.0000997143
546,0.04248542,0.0000997132
547,0.04819172,0.0000997122
548,0.06167123,0.0000997111
549,0.09163912,0.0000997101
550,0.63807166,0.0000997090
551,0.11733645,0.0000997080
552,0.05325016,0.0000997069
553,0.15124042,0.0000997058
554,0.04613751,0.0000997048
555,0.07881720,0.0000997037
556,0.03018597,0.0000997026
557,0.04565021,0.0000997016
558,0.16492817,0.0000997005
559,0.17489499,0.0000996994
560,0.05662608,0.0000996983
561,0.06282948,0.0000996973
562,0.05318011,0.0000996962
563,0.06176537,0.0000996951
564,0.06646442,0.0000996940
565,0.03171931,0.0000996929
566,0.07830097,0.0000996919
567,0.09962521,0.0000996908
568,0.07304827,0.0000996897
569,0.11965667,0.0000996886
570,0.02420900,0.0000996875
571,0.13602617,0.0000996864
572,0.27337670,0.0000996853
573,0.06163348,0.0000996842
574,0.09679921,0.0000996831
575,0.15055940,0.0000996820
576,0.05908045,0.0000996809
577,0.07692046,0.0000996798
578,0.07119946,0.0000996787
579,0.08378610,0.0000996776
580,0.04808478,0.0000996764
581,0.05930574,0.0000996753
582,0.07496779,0.0000996742
583,0.05461102,0.0000996731
584,0.06861460,0.0000996720
585,0.07411636,0.0000996708
586,0.04219376,0.0000996697
587,0.06016819,0.0000996686
588,0.03227031,0.0000996675
589,0.05495269,0.0000996663
590,0.06508865,0.0000996652
591,0.05004075,0.0000996641
592,0.61141378,0.0000996629
593,0.06626499,0.0000996618
594,0.07459178,0.0000996607
595,0.09181608,0.0000996595
596,0.09457801,0.0000996584
597,0.05583018,0.0000996572
598,0.21821553,0.0000996561
599,0.20288284,0.0000996549
600,0.05254290,0.0000996538
601,0.05825295,0.0000996526
602,0.22200602,0.0000996515
603,0.06870714,0.0000996503
604,0.06507602,0.0000996491
605,0.08636089,0.0000996480
606,0.05241502,0.0000996468
607,0.06143958,0.0000996457
608,0.11616246,0.0000996445
609,0.18305990,0.0000996433
610,0.07999611,0.0000996421
611,0.02846362,0.0000996410
612,0.06143649,0.0000996398
613,0.07022283,0.0000996386
614,0.06879288,0.0000996374
615,0.03398079,0.0000996363
616,0.05368612,0.0000996351
617,0.07579315,0.0000996339
618,0.16528246,0.0000996327
619,0.02362238,0.0000996315
620,0.11724415,0.0000996303
621,0.05213030,0.0000996291
622,0.05537549,0.0000996279
623,0.08749504,0.0000996268
624,0.06623514,0.0000996256
625,0.02415424,0.0000996244
626,0.07161821,0.0000996232
627,0.06034808,0.0000996219
628,0.13544635,0.0000996207
629,0.39016724,0.0000996195
630,0.06846496,0.0000996183
631,0.06908891,0.0000996171
632,0.08191068,0.0000996159
633,0.07556692,0.0000996147
634,0.04991425,0.0000996135
635,0.03959201,0.0000996123
636,0.06608175,0.0000996110
637,0.06290205,0.0000996098
