cooldown_sec,eps_phi,mae,rmse,oboa,event_f1,event_p,event_r,mean_signed_err,avg_crossings,avg_candidates,avg_accepted,accept_rate,moving_fraction,fail_phi,fail_r,fail_vote
0.2,0.45,4.025,5.188930525647843,0.2,0.2799575821845175,0.32273838630806845,0.24719101123595505,-3.125,26.25,21.6,10.225,0.47337962962962965,0.9646753018250888,1151,2,455
0.2,0.35,4.2,5.329165037789691,0.175,0.2795698924731183,0.3282828282828283,0.24344569288389514,-3.45,26.25,21.6,9.9,0.4583333333333333,0.9646753018250888,1185,2,468
0.1,0.45,4.25,5.361902647381804,0.175,0.2854077253218884,0.3341708542713568,0.24906367041198502,-3.4,29.15,20.775,9.95,0.4789410348977136,0.9663257552985893,1095,4,433
0.05,0.45,4.275,5.387485498820391,0.175,0.28571428571428575,0.3350125944584383,0.24906367041198502,-3.425,29.875,20.525,9.925,0.4835566382460414,0.9668444296528991,1075,4,424
0.1,0.35,4.425,5.529466520379701,0.175,0.28509249183895535,0.34025974025974026,0.24531835205992508,-3.725,29.15,20.775,9.625,0.46329723225030084,0.9663257552985893,1130,4,446
0.05,0.35,4.45,5.563272418280449,0.175,0.28540305010893247,0.3411458333333333,0.24531835205992508,-3.75,29.875,20.525,9.6,0.46772228989037756,0.9668444296528991,1107,4,437
