n,conf_min,conf_max,mean_conf,mae,mae_norm_p1,obo
16,0.0,0.5793123640005055,0.03620702275003159,3.3125,0.938846645751883,0.1875
15,0.598805443532444,0.6374886720891545,0.6234040218234392,5.333333333333333,0.7676788325491493,0.26666666666666666
15,0.6400637598028556,0.6575293535839684,0.6474459222297617,7.733333333333333,0.8795584628545138,0.2
15,0.6577038925684784,0.6754120606468618,0.6671506887694327,5.333333333333333,1.6738406954445597,0.26666666666666666
15,0.6756456368352319,0.6915724882962447,0.6828779724658468,6.2,0.3113670847430197,0.4
15,0.6919371361718277,0.7128558682658963,0.7008094812250001,6.8,0.44686117913557083,0.13333333333333333
15,0.7170252434184419,0.7323863217172276,0.7253308772890285,7.0,0.2711259386246768,0.13333333333333333
15,0.7325835879379268,0.7532699843638488,0.7426759418441587,2.533333333333333,0.22940009501970723,0.4
15,0.7533526369150336,0.7709324341745157,0.760683359416324,3.2666666666666666,0.28834518519980323,0.3333333333333333
16,0.7743912276533185,0.8119914989726912,0.7873775914939681,4.375,0.21207018829381075,0.1875
