n,conf_min,conf_max,mean_conf,mae,mae_norm_p1,obo
16,0.0,0.757318310191234,0.6950620312207371,4.25,0.5145684986545943,0.25
15,0.7583932944883903,0.7737894596325027,0.7669631841132037,7.266666666666667,0.3817094655997482,0.2
15,0.7742945300721227,0.7855234865033836,0.7797544780033914,8.0,0.4370094558738689,0.3333333333333333
15,0.7858911089599132,0.7961996790987474,0.7925992882259395,7.666666666666667,0.44955262444379296,0.3333333333333333
15,0.7964736266682545,0.8076488180633854,0.8019550884620915,11.933333333333334,0.4494431915257831,0.06666666666666667
15,0.8080011784106262,0.8208766475666401,0.8147099921882327,8.933333333333334,0.5045234893381838,0.06666666666666667
15,0.8209196660253737,0.8322291927678245,0.8265777772778592,6.2,0.41698572605632017,0.2
15,0.833163693216112,0.8499506513277689,0.8408253358953293,3.3333333333333335,0.28664950516292376,0.4666666666666667
15,0.8503677894671758,0.8731695195039113,0.8579193257046506,5.133333333333334,0.48133821403674637,0.3333333333333333
16,0.8771306574344635,0.9783749892598108,0.9162198544442284,2.5625,0.42957944346223664,0.4375
