step,loss,lr
213,0.10839126,0.0000999563
214,0.05396967,0.0000999559
215,0.05168755,0.0000999555
216,0.05100687,0.0000999551
217,0.56767690,0.0000999547
218,0.22018456,0.0000999542
219,0.06629059,0.0000999538
220,0.05019509,0.0000999534
221,0.12536928,0.0000999530
222,0.08971531,0.0000999526
223,0.10486237,0.0000999521
224,0.06184463,0.0000999517
225,0.04358479,0.0000999513
226,0.06908880,0.0000999508
227,0.07821193,0.0000999504
228,0.03720807,0.0000999500
229,0.02677741,0.0000999495
230,0.04108539,0.0000999491
231,0.03620292,0.0000999486
232,0.16078046,0.0000999482
233,0.04481871,0.0000999477
234,0.07814330,0.0000999473
235,0.02335921,0.0000999468
236,0.03762693,0.0000999464
237,0.03290766,0.0000999459
238,0.07008229,0.0000999455
239,0.07129298,0.0000999450
240,0.03193408,0.0000999445
241,0.04644199,0.0000999441
242,0.04428873,0.0000999436
243,0.07710703,0.0000999432
244,0.10827602,0.0000999427
245,0.07700741,0.0000999422
246,0.15067242,0.0000999417
247,0.07293868,0.0000999413
248,0.04647721,0.0000999408
249,0.06349498,0.0000999403
250,0.07929862,0.0000999398
251,0.06594495,0.0000999394
252,0.07080613,0.0000999389
253,0.10343493,0.0000999384
254,0.06531762,0.0000999379
255,0.10812739,0.0000999374
256,0.06795753,0.0000999369
257,0.05455076,0.0000999364
258,0.05508934,0.0000999359
259,0.13489139,0.0000999354
260,0.04945643,0.0000999349
261,0.07891527,0.0000999344
262,0.12609144,0.0000999339
263,0.08466908,0.0000999334
264,0.05014797,0.0000999329
265,0.06668781,0.0000999324
266,0.12371386,0.0000999319
267,0.21631135,0.0000999314
268,0.12232205,0.0000999309
269,0.03985093,0.0000999303
270,0.06480708,0.0000999298
271,0.05695679,0.0000999293
272,0.05763085,0.0000999288
273,0.05625528,0.0000999283
274,0.09257646,0.0000999277
275,0.06652546,0.0000999272
276,0.06780032,0.0000999267
277,0.06659949,0.0000999261
278,0.11819430,0.0000999256
279,0.14382395,0.0000999251
280,0.07197601,0.0000999245
281,0.08659576,0.0000999240
282,0.05553240,0.0000999234
283,0.15786794,0.0000999229
284,0.36547297,0.0000999224
285,0.08644975,0.0000999218
286,0.04850569,0.0000999213
287,0.30163342,0.0000999207
288,0.05306632,0.0000999202
289,0.06389491,0.0000999196
290,0.04960118,0.0000999190
291,0.13035889,0.0000999185
292,0.05293512,0.0000999179
293,0.06393812,0.0000999174
294,0.07214309,0.0000999168
295,0.03378504,0.0000999162
296,0.02753324,0.0000999157
297,0.46470892,0.0000999151
298,0.07319093,0.0000999145
299,0.08053093,0.0000999139
300,0.05102905,0.0000999134
301,0.03671600,0.0000999128
302,0.10643609,0.0000999122
303,0.05512011,0.0000999116
